SUPPLIER_PART_NUMBER	MANUFACTURER_NAME	MANUFACTURER_PART_NUMBER	SHORT_DESCRIPTION	LONG_DESCRIPTION	NOTES_COMMENTS	CATEGORY_OF_PRODUCT_1	CATEGORY_OF_PRODUCT_2	CATEGORY_OF_PRODUCT_3	RESELLER_BUY_EX	RRP_EX	GOV_BUY_EX	GOV_RETAIL_EX	RESELLER_BUY_INC	RRP_INC	GOV_BUY_INC	GOV_RETAIL_INC	SERIALIZED	AVAILABILITY_M	AVAILABILITY_S	AVAILABILITY_B	AVAILABILITY_P	EOR_MARKER	WEIGHT	HEIGHT	WIDTH	LENGTH	TOTAL_AVAILABILITY	EAN	UPC	APN
B226WLR(UM.EB6SA.001)	Acer	UM.EB6SA.001-B62	"22""TN-LED,16:10,1680x1050,5ms,1000:1,1xVGA,1xDVI,1xDisplayPort,Tilt,Swivel,Pivot,Height Adj,Speaker,VESA(100x100),3Yrs Warranty"	"22""TN-LED,16:10,1680x1050,5ms,1000:1,1xVGA,1xDVI,1xDisplayPort,Tilt,Swivel,Pivot,Height Adj,Speaker,VESA(100x100),3Yrs Warranty"		LCD Monitor			180.5	190			198.55	209			NO	0	0	14	5	EOR	7.4	42	19	55	19	4.7122E+12		
B246HL	Acer	UM.FB6SA.001-D10	"24""TN-LED,16:9,1920x1080,5ms,1000:1,1xVGA,1xDVI,1xDisplayPort,Tilt,Swivel,Pivot,Height Adj,Speaker,VESA(100x100),3Yrs Warranty"	"24""TN-LED,16:9,1920x1080,5ms,1000:1,1xVGA,1xDVI,1xDisplayPort,Tilt,Swivel,Pivot,Height Adj,Speaker,VESA(100x100),3Yrs Warranty"		LCD Monitor			197.77	208.18			217.55	229			NO	0	0	0	0	EOR	7.5	40	12	50	0	4.7122E+12		
DSL-N12E	Asus	90IG0101-BZ7000	"WIRELESS-N 300, 2.4GHz, 2X5DBI,ADSL MODEM ROUTER"	"WIRELESS-N 300, 2.4GHz, 2X5DBI,ADSL MODEM ROUTER"		Networking - Modem			43	53.64			47.3	59			NO	0	0	0	0	EOR	0.7	58.5	24.4	32.2	0	4.71666E+12		4.71666E+12
PCE-AC68	Asus	90IG00R0-BE0G00	"AC1900 Dual-Band Wireless PCI-Express Adaptor, 802.11a/b/g/n/ac"	"AC1900 Dual-Band Wireless PCI-Express Adaptor, 802.11a/b/g/n/ac"		Network Cards			105	117.27			115.5	129			NO	0	0	0	0	EOR	0.68	5.9	31.7	24.6	0	4.71666E+12		4.71666E+12
PCE-N15	Asus	90-IG1U003E00-0PA0-	N300 TRUE 300Mbps DOWNLINK UPLINK 802.11b/g/n WIFI PCI-E CARD	N300 TRUE 300Mbps DOWNLINK UPLINK 802.11b/g/n WIFI PCI-E CARD		Network Cards			27	35.45			29.7	39			NO	799	0	0	69	EOR	0.19	4	14	19	868	4.71954E+12		4.71954E+12
1YROSWSS	Brother	1YROSWSS	1 YEAR ONSITE WARRANTY FOR ALL MONO LASER & COLOUR LASER AND DESKTOP SCANNERS (RRP OVER $200)	1 YEAR ONSITE WARRANTY FOR ALL MONO LASER & COLOUR LASER AND DESKTOP SCANNERS (RRP OVER $200)		Warranty and Services			76.5	90			84.15	99			NO	B	B	B	B	EOR	0	0	0	0	B			
2YROSWSS	Brother	2YROSWSS	2 YEAR ONSITE WARRANTY FOR ALL MONO LASER & COLOUR LASER AND DESKTOP SCANNERS (RRP OVER $200)	2 YEAR ONSITE WARRANTY FOR ALL MONO LASER & COLOUR LASER AND DESKTOP SCANNERS (RRP OVER $200)		Warranty and Services			153	180			168.3	198			NO	B	B	B	B	EOR	0	0	0	0	B			
3YROSWSS	Brother	3YROSWSS	3 YEAR ONSITE WARRANTY FOR ALL MONO LASER & COLOUR LASER AND DESKTOP SCANNERS (RRP OVER $200)	3 YEAR ONSITE WARRANTY FOR ALL MONO LASER & COLOUR LASER AND DESKTOP SCANNERS (RRP OVER $200)		Warranty and Services			234.34	270			257.77	297			NO	B	B	B	B	EOR	0	0	0	0	B			
402-02	Brother	402-02 DAISY WHEEL	PRESTIGE 1012 DAISY WHEEL	PRESTIGE 1012 DAISY WHEEL		Other Storage Media			33.34	48.18			36.67	53			NO	B	B	B	B	EOR	0.01	11.5	8.5	1	B			4.97777E+12
411-02	Brother	411-02	BROUGHAM 10 DAISY WHEEL	BROUGHAM 10 DAISY WHEEL		Paper Media			33.34	48.18			36.67	53			NO	B	B	B	B	EOR	0.1	0	0	0	B	4.97777E+12	4.97777E+12	4.97777E+12
